0,0 0,00 1,00 0,00 1,00
3170,0 -1,91 -1,92 -1,94 -1,94
3180,0 -1,91 -1,92 -1,94 -1,94
3190,0 -1,91 -1,92 -1,94 -1,94
3200,0 -1,91 -1,92 -1,94 -1,95
3210,0 -1,91 -1,92 -1,94 -1,96
3220,0 -1,91 -1,92 -1,94 -1,96
3230,0 -1,89 -1,92 -1,94 -1,96
3240,0 -1,89 -1,92 -1,94 -1,96
3250,0 -1,90 -1,92 -1,94 -1,94
3260,0 -1,92 -1,92 -1,94 -1,94
3270,0 -1,92 -1,92 -1,94 -1,94
3280,0 -1,92 -1,92 -1,94 -1,94
3290,0 -1,92 -1,92 -1,94 -1,94
3300,0 -1,92 -1,92 -1,94 -1,95
3310,0 -1,91 -1,92 -1,94 -1,96
3320,0 -1,91 -1,92 -1,94 -1,96
3330,0 -1,91 -1,92 -1,94 -1,96
3340,0 -1,91 -1,92 -1,94 -1,96
3350,0 -1,91 -1,92 -1,94 -1,95
3360,0 -1,91 -1,92 -1,94 -1,94
3370,0 -1,91 -1,92 -1,94 -1,94
3380,0 -1,91 -1,92 -1,94 -1,94
3390,0 -1,91 -1,92 -1,94 -1,94
3400,0 -1,91 -1,92 -1,94 -1,95
3410,0 -1,90 -1,92 -1,94 -1,96
3420,0 -1,89 -1,92 -1,94 -1,96
3430,0 -1,90 -1,92 -1,94 -1,96
3440,0 -1,92 -1,92 -1,94 -1,96
3450,0 -1,92 -1,92 -1,94 -1,95
3460,0 -1,92 -1,92 -1,94 -1,94
3470,0 -1,92 -1,92 -1,94 -1,94
3480,0 -1,92 -1,92 -1,94 -1,94
3490,0 -1,91 -1,92 -1,94 -1,94
3500,0 -1,91 -1,92 -1,94 -1,94
3510,0 -1,91 -1,92 -1,94 -1,96
3520,0 -1,91 -1,92 -1,94 -1,96
3530,0 -1,91 -1,92 -1,94 -1,96
3540,0 -1,91 -1,92 -1,94 -1,96
3550,0 -1,91 -1,92 -1,94 -1,96
3560,0 -1,91 -1,92 -1,94 -1,94
3570,0 -1,91 -1,92 -1,94 -1,94
3580,0 -1,91 -1,92 -1,94 -1,94
3590,0 -1,91 -1,92 -1,94 -1,94
3600,0 -1,91 -1,92 -1,94 -1,94
3610,0 -1,91 -1,92 -1,94 -1,96
3620,0 -1,91 -1,92 -1,94 -1,96
3630,0 -1,91 -1,92 -1,94 -1,96
3640,0 -1,89 -1,92 -1,94 -1,96
3650,0 -1,89 -1,92 -1,94 -1,96
3660,0 -1,90 -1,92 -1,94 -1,94
3670,0 -1,92 -1,92 -1,94 -1,94
3680,0 -1,92 -1,92 -1,94 -1,94
3690,0 -1,92 -1,92 -1,94 -1,94
3700,0 -1,92 -1,92 -1,94 -1,94
3710,0 -1,92 -1,92 -1,94 -1,95
3720,0 -1,91 -1,92 -1,94 -1,96
3730,0 -1,91 -1,92 -1,94 -1,96
3740,0 -1,91 -1,92 -1,94 -1,96
3750,0 -1,91 -1,92 -1,94 -1,96
3760,0 -1,91 -1,92 -1,94 -1,94
3770,0 -1,91 -1,92 -1,94 -1,94
3780,0 -1,91 -1,92 -1,94 -1,94
3790,0 -1,91 -1,92 -1,94 -1,94
3800,0 -1,91 -1,92 -1,94 -1,94
3810,0 -1,91 -1,92 -1,94 -1,95
3820,0 -1,89 -1,92 -1,94 -1,96
3830,0 -1,89 -1,92 -1,94 -1,96
3840,0 -1,90 -1,92 -1,94 -1,96
3850,0 -1,92 -1,92 -1,94 -1,96
3860,0 -1,92 -1,92 -1,94 -1,95
3870,0 -1,92 -1,92 -1,94 -1,94
3880,0 -1,92 -1,92 -1,94 -1,94
3890,0 -1,92 -1,92 -1,94 -1,94
3900,0 -1,91 -1,92 -1,94 -1,94
3910,0 -1,91 -1,92 -1,94 -1,95
3920,0 -1,91 -1,92 -1,94 -1,96
3930,0 -1,91 -1,92 -1,94 -1,96
3940,0 -1,91 -1,92 -1,94 -1,96
3950,0 -1,91 -1,92 -1,94 -1,96
3960,0 -1,91 -1,92 -1,94 -1,95
3970,0 -1,91 -1,92 -1,94 -1,94
3980,0 -1,91 -1,92 -1,94 -1,94
3990,0 -1,91 -1,92 -1,94 -1,94
4000,0 -1,91 -1,92 -1,94 -1,94
