330,00    -0,98664218    0,99964202    0,99570587    0,99713931    1,00139861    1,00268004    1,00456885    1,00449391    1,00561535    1,00493771    1,00547991    1,00479055    1,00569750    1,00495970    1,00548510    1,00479164    1,00569770    1,00495974    1,00548511    1,00479165    1,00569778    1,00496010    1,00548669    1,00479808    1,00572205    1,00504380    1,00571705    1,00536063    1,00694602    1,00735206    1,90097193    1,90801337    1,96001769    1,97348430    1,52985134    1,52985134
340,00    -1,01335799    0,98020166    0,97418811    0,97024880    0,96800214    0,95892247    0,96044431    0,96360497    0,96552362    0,95829408    0,96030148    0,96356700    0,96551587    0,95829463    0,96030200    0,96356717    0,96551592    0,95829464    0,96030201    0,96356718    0,96551594    0,95829473    0,96030228    0,96356783    0,96551800    0,95830513    0,96032124    0,96358173    0,96551764    0,95826449    1,90129770    1,90886063    1,95865293    1,97043043    1,27252899    1,27252899
350,00    -1,00708558    0,99458997    0,99866020    0,99756654    0,99282653    0,98089765    0,98042837    0,98379595    0,98491876    0,97644550    0,97859673    0,98318927    0,98474313    0,97639373    0,97858411    0,98318659    0,98474262    0,97639363    0,97858408    0,98318656    0,98474245    0,97639277    0,97858055    0,98317336    0,98469598    0,97623468    0,97817004    0,98224070    0,98276525    0,97246939    1,90199685    1,90962380    1,95735695    1,96284211    0,06709189    0,06709189
360,00    -0,98003861    1,02102015    1,02827949    1,03360848    1,03787711    1,04166740    1,04224279    1,04070034    1,04073782    1,04266023    1,04248534    1,04074748    1,04074474    1,04266010    1,04248441    1,04074708    1,04074462    1,04266007    1,04248440    1,04074706    1,04074458    1,04265991    1,04248394    1,04074565    1,04073979    1,04264810    1,04246536    1,04072458    1,04073415    1,04291769    1,90303457    1,91028499    1,95610332    1,94916209    -1,91662557    -1,91662557
370,00    -0,97513797    1,01272586    1,01265419    1,01595794    1,02138830    1,02537568    1,02737495    1,02667897    1,02748955    1,02870463    1,02881689    1,02719420    1,02764766    1,02875178    1,02882928    1,02719707    1,02764825    1,02875189    1,02882931    1,02719711    1,02764844    1,02875274    1,02883260    1,02720905    1,02768882    1,02887807    1,02914392    1,02789983    1,02908282    1,03143303    1,90347653    1,91099355    1,95502236    1,95020309    -1,75422461    -1,75422461
380,00    -1,00803363    0,98690527    0,98339775    0,98255680    0,98361362    0,97967077    0,98159650    0,98341596    0,98500626    0,98099510    0,98229573    0,98368977    0,98509742    0,98102631    0,98230469    0,98369203    0,98509794    0,98102643    0,98230473    0,98369208    0,98509811    0,98102716    0,98230737    0,98370106    0,98512713    0,98111674    0,98251693    0,98413185    0,98593017    0,98244403    1,90362820    1,91164948    1,95401219    1,95139231    -1,55501340    -1,55501340
390,00    -1,01730811    0,98148817    0,98225874    0,98010863    0,97602334    0,96387195    0,96416305    0,96769820    0,96929409    0,96040482    0,96271196    0,96717140    0,96912785    0,96035489    0,96269891    0,96716831    0,96912720    0,96035477    0,96269888    0,96716827    0,96912702    0,96035398    0,96269581    0,96715729    0,96909211    0,96025220    0,96244531    0,96659831    0,96798081    0,95816594    1,90391694    1,91226131    1,95307266    1,95302946    -1,26547783    -1,26547783
400,00    -0,98991920    1,01132912    1,01634954    1,01867108    1,01883101    1,01579120    1,01533104    1,01542484    1,01566371    1,01311923    1,01387913    1,01483716    1,01545982    1,01304529    1,01385674    1,01483139    1,01545847    1,01304495    1,01385665    1,01483128    1,01545804    1,01304317    1,01385059    1,01481210    1,01539864    1,01286587    1,01345764    1,01404708    1,01399966    1,01051747    1,90468123    1,91289530    1,95225959    1,96684989    1,45869241    1,45869241
410,00    -0,96752414    1,02197701    1,02321279    1,02658261    1,03162270    1,03628038    1,03798854    1,03693064    1,03748377    1,03953284    1,03943599    1,03747167    1,03766152    1,03959121    1,03945234    1,03747564    1,03766239    1,03959139    1,03945239    1,03747570    1,03766262    1,03959241    1,03945604    1,03748760    1,03769912    1,03969977    1,03970483    1,03800505    1,03871322    1,04166606    1,90528098    1,91345166    1,95146961    1,97103664    1,92060577    1,92060577
420,00    -0,99252672    0,99948576    0,99768041    0,99875522    1,00179454    1,00157834    1,00376154    1,00470684    1,00604053    1,00449165    1,00526278    1,00533280    1,00626391    1,00457070    1,00528720    1,00533948    1,00626555    1,00457110    1,00528731    1,00533961    1,00626603    1,00457298    1,00529363    1,00535954    1,00632511    1,00473598    1,00565006    1,00606009    1,00758424    1,00679303    1,90540002    1,91390712    1,95067557    1,96879441    1,77680548    1,77680548
430,00    -1,02351539    0,97792239    0,97892579    0,97826676    0,97681626    0,96827446    0,96943574    0,97231028    0,97397025    0,96719447    0,96907740    0,97219078    0,97393663    0,96719012    0,96907736    0,97219096    0,97393675    0,96719020    0,96907739    0,97219100    0,97393684    0,96719052    0,96907819    0,97219265    0,97394111    0,96720640    0,96909843    0,97218761    0,97385932    0,96692003    1,90546658    1,91432925    1,94993443    1,96654591    1,60774515    1,60774515
440,00    -1,00514175    0,99468941    0,99838622    0,99885361    0,99652721    0,98782017    0,98714430    0,98886818    0,98959823    0,98297555    0,98464390    0,98782370    0,98921597    0,98283054    0,98459802    0,98781105    0,98921280    0,98282972    0,98459779    0,98781079    0,98921192    0,98282629    0,98458681    0,98777831    0,98912025    0,98257376    0,98405415    0,98677417    0,98734199    0,97949620    1,90585735    1,91472205    1,94924422    1,96415083    1,38911829    1,38911829
450,00    -0,97038248    1,02328454    1,02411495    1,02618001    1,02925941    1,03171016    1,03256145    1,03156636    1,03188905    1,03285502    1,03292005    1,03165474    1,03190550    1,03285554    1,03291771    1,03165342    1,03190501    1,03285537    1,03291764    1,03165334    1,03190480    1,03285471    1,03291589    1,03164863    1,03189189    1,03282585    1,03287140    1,03160035    1,03189217    1,03314436    1,90650413    1,91508274    1,94859686    1,96081805    0,97708739    0,97708739
460,00    -0,97188501    1,01332173    1,01159287    1,01308929    1,01684022    1,01892977    1,02110110    1,02136269    1,02247610    1,02270096    1,02309628    1,02223890    1,02280974    1,02282779    1,02313847    1,02225128    1,02281299    1,02282865    1,02313872    1,02225154    1,02281387    1,02283180    1,02314843    1,02227966    1,02289097    1,02303053    1,02355729    1,02304542    1,02423586    1,02527211    1,90671421    1,91531328    1,94789358    1,94199269    -1,97438595    -1,97438595
470,00    -1,01847047    0,98466124    0,98578429    0,98657649    0,98742558    0,98278911    0,98455030    0,98668687    0,98827021    0,98395759    0,98534305    0,98707748    0,98843381    0,98402941    0,98536904    0,98708564    0,98843613    0,98403011    0,98536927    0,98708588    0,98843684    0,98403258    0,98537648    0,98710570    0,98848925    0,98416661    0,98563434    0,98754209    0,98916317    0,98510362    1,90669051    1,91565757    1,94736255    1,94347684    -1,82157825    -1,82157825
480,00    -1,02122937    0,97976286    0,98464759    0,98556247    0,98360859    0,97388859    0,97393345    0,97641945    0,97759288    0,97000499    0,97194308    0,97554874    0,97725784    0,96987630    0,97190023    0,97553595    0,97725442    0,96987539    0,97189997    0,97553570    0,97725361    0,96987255    0,97189129    0,97551100    0,97718863    0,96971015    0,97155720    0,97487610    0,97605604    0,96770995    1,90680501    1,91597838    1,94686872    1,94503180    -1,63983407    -1,63983407
490,00    -0,98403394    1,01380313    1,01462953    1,01548000    1,01605899    1,01389210    1,01377629    1,01354807    1,01381556    1,01161547    1,01227150    1,01279796    1,01349510    1,01147169    1,01221762    1,01278069    1,01349008    1,01147013    1,01221709    1,01278018    1,01348863    1,01146521    1,01220334    1,01274410    1,01339599    1,01123404    1,01177112    1,01202698    1,01227451    1,00960531    1,90729562    1,91628007    1,94641217    1,94683017    -1,39904784    -1,39904784
500,00    -0,95916075    1,02382054    1,02106406    1,02170721    1,02495253    1,02765707    1,02942709    1,02913301    1,02998996    1,03102477    1,03121733    1,02993423    1,03030705    1,03115322    1,03126195    1,02994782    1,03031079    1,03115427    1,03126227    1,02994810    1,03031164    1,03115725    1,03127088    1,02997118    1,03037090    1,03130605    1,03156715    1,03051516    1,03134309    1,03306690    1,90765260    1,91656796    1,94599422    1,95008535    -0,87700832    -0,87700832
510,00    -0,99723695    0,99829134    0,99780925    0,99891596    1,00105583    0,99949823    1,00153902    1,00298013    1,00444565    1,00228340    1,00324457    1,00382763    1,00481002    1,00244288    1,00330488    1,00384772    1,00481604    1,00244473    1,00330551    1,00384832    1,00481768    1,00244997    1,00331996    1,00388606    1,00491162    1,00267229    1,00373426    1,00458619    1,00601682    1,00431314    1,90764186    1,91692411    1,94569014    1,96731976    1,97265262    1,97265262
520,00    -1,03168831    0,97479260    0,98081368    0,98290337    0,98261822    0,97494783    0,97586839    0,97836995    0,97978816    0,97340829    0,97516300    0,97807405    0,97967996    0,97337513    0,97515342    0,97807137    0,97967937    0,97337511    0,97515346    0,97807142    0,97967945    0,97337536    0,97515372    0,97807083    0,97967693    0,97337179    0,97512773    0,97797237    0,97941986    0,97277401    1,90760201    1,91713055    1,94528735    1,96535623    1,83593444    1,83593444
530,00    -1,00424233    0,99545078    0,99911706    1,00049714    0,99982979    0,99355059    0,99318489    0,99412865    0,99463849    0,98926568    0,99057598    0,99283987    0,99407688    0,98900707    0,99047651    0,99280657    0,99406670    0,98900377    0,99047538    0,99280557    0,99406410    0,98899541    0,99045320    0,99275047    0,99393150    0,98867959    0,98987712    0,99179883    0,99241924    0,98627244    1,90784844    1,91732404    1,94491374    1,96339585    1,67848018    1,67848018
540,00    -0,96255343    1,02636501    1,02267807    1,02209663    1,02394129    1,02520537    1,02620341    1,02566710    1,02622902    1,02654170    1,02678973    1,02588116    1,02629745    1,02656275    1,02679330    1,02588097    1,02629703    1,02656250    1,02679313    1,02588078    1,02629660    1,02656143    1,02679078    1,02587550    1,02628493    1,02654240    1,02677628    1,02589802    1,02643077    1,02707693    1,90826864    1,91750436    1,94456626    1,96134622    1,48450944    1,48450944
550,00    -0,96802340    1,01378063    1,01055920    1,01071635    1,01306540    1,01345187    1,01544295    1,01621505    1,01751448    1,01696288    1,01759874    1,01731515    1,01800627    1,01718789    1,01768827    1,01734657    1,01801620    1,01719111    1,01768941    1,01734755    1,01801866    1,01719854    1,01770862    1,01739471    1,01812984    1,01745027    1,01816258    1,01814932    1,01933327    1,01932740    1,90835173    1,91766710    1,94423796    1,95887435    1,19500629    1,19500629
560,00    -1,02723079    0,98181662    0,98619985    0,98857479    0,98970744    0,98483558    0,98636191    0,98850369    0,99000916    0,98552788    0,98695467    0,98885770    0,99018939    0,98562621    0,98699768    0,98887381    0,99019488    0,98562824    0,98699847    0,98887453    0,99019657    0,98563323    0,98701077    0,98890316    0,99026144    0,98577781    0,98724945    0,98924512    0,99070206    0,98627163    1,90825507    1,91771892    1,94383583    1,93965203    -1,96326408    -1,96326408
570,00    -1,02518082    0,97762744    0,98589941    0,98915293    0,98899845    0,98141381    0,98157381    0,98340233    0,98429555    0,97772058    0,97934956    0,98227773    0,98379121    0,97748637    0,97925619    0,98224465    0,98378058    0,97748285    0,97925497    0,98224365    0,98377821    0,97747583    0,97923708    0,98220063    0,98367943    0,97725384    0,97883507    0,98152182    0,98256622    0,97539171    1,90830046    1,91786987    1,94356139    1,93972520    -1,88457498    -1,88457498
580,00    -0,97997998    1,01679073    1,01471738    1,01424604    1,01476784    1,01300093    1,01324405    1,01304929    1,01342700    1,01146861    1,01206833    1,01236111    1,01307979    1,01128330    1,01198586    1,01232971    1,01306895    1,01127927    1,01198426    1,01232834    1,01306584    1,01127035    1,01196296    1,01228007    1,01295838    1,01103592    1,01157846    1,01172047    1,01219457    1,01008209    1,90864011    1,91803485    1,94332921    1,94146471    -1,71621099    -1,71621099
